Name;Nodes;Edges;In_Density;Out_density;Time
deezer_europe_edges;28281;92752;3.27966;8.46324;3127670000
facebook_company;22468;6495;0.289078;3.54795;741903000
facebook_gov;22467;6880;0.306227;3.46875;758782000
facebook_political;22460;5768;0.256812;2.83051;775995000
facebook_tvshow;22441;3327;0.148255;2.07895;777450000
git_0;37698;27961;0.74171;6.82857;1866860000
git_1;37692;9739;0.258384;2.81604;1690070000
graph300;300;22587;75.5667;77.5535;525786000
graph600;600;90378;150.63;152.852;2086570000
graph800;800;160267;200.334;202.71;3708150000
graph1000;1000;250669;250.669;253.719;5836360000
graph2000;2000;1000597;500.298;505.292;23188500000
lastfm_asia_edges;7624;27806;3.64717;14.7869;854605000
musae_chameleon_edges;2277;36101;15.8546;51.2783;9.53567e+08
musae_crocodile_edges;11631;180020;15.4776;46.3644;4550290000
musae_facebook_edges;22470;171002;7.61024;35.0063;4754020000
musae_git_edges;37700;289003;7.66586;30.2435;8351460000
musae_squirrel_edges;5201;217073;41.7368;144.496;5219380000
testAlg;8;11;1.375;1.42857;1.5487e+06
testAlg2;10;16;01.פוג;2;2147900
testAlg3;9;13;1.44444;01.אגד;1872100
testAlg4;19;28;1.47368;1.71429;2760000
testG_14;14;9;0.642857;1;1734500
testG9_;9;6;0.666667;1;1886000
testG400;396;24;0.060606;1;6630600
testG4000;4000;2165;0.54125;1.93878;108331000
